id,sentence
0, Really important put the water on first so you can just have it gently simmering away ready for the pasta.
1, While the water comes to the boil start the sauce by slicing mushrooms.
2," First off, fingers, one in front, two behind, up and down."
3, Then add olive oil to a hot frying pan.
4, I want that nice colour on the mushrooms.
5," Off the heat, literally 10 seconds."
6, And when you toss something really important you get all the ingredients at the end of the pan.
7, Push down and pull back.
8, That noise that's all the water coming out of the mushrooms.
9," Next, finely chop a fat clove of garlic."
10, Then prepare your leeks.
11," Just take your knife and go down through the centre, turn it over and again into quarters."
12," See, all that opening up and then just rinse the top of that to get rid of any potential dirt or sand."
13, It just breaks up into nice little quarters.
14, Add all that leek into those mushrooms.
15, Beautiful.
16, And now the secret is to get rid of the water inside the leek.
17," As it cooks down, all the water's gone, you can set it up."
18, We'll do nice and tense flavour.
19, Garlic's got nice and crispy.
20," Now, we're going to add a touch of chicken stock in there."
21, Beautiful.
22," Lassagne sheets, just going to drop the sheets in to the water."
23," Lassagne sheets are an unusual choice for a dish like this, but they work brilliantly."
24, Although any type of pasta you've got in the cupboard will do.
25, And just twist that pan.
26, That stops any pasta actually sticking to the bottom of the pan.
27, Chicken stock will reduce down by half.
28, And it's almost delays the bottom of the pan.
29, Basically washed all that wonderful flavour off.
30, Turn the gas down.
31, And add a couple of tablespoons of cream.
32," This just enriches the dish, bringing it back up to the board and let it simmer for three to four minutes."
33," Now, the secret of the pasta is just taking it out."
34, A little early.
35, So you've got that nice texture.
36, Hold up the sheet and just nip it.
37, And you can feel your fingers in the centre.
38, It's ready.
39, Turn the sauce down.
40, And the lay.
41, These beautiful sheets.
42, And the sagne into that sauce.
43, Just going to turn the gas off now.
44, And let the pasta sit in there and absorb that amazing sauce.
45, Finish with chopped fresh tarragon.
46, So delicious herb that goes brilliantly well with mushrooms and leeks.
47," Just let that sit, almost sort of infuse."
48," To serve, I'm making a quick bruschetta by toasting fresh to batter bread."
49," Two nice slices, drizzle that in olive oil."
50, A little bit of garlic.
51, Just rub the bread.
52, The crust as well.
53, The crust is what really takes that garlic.
54," Now, pan for the bread."
55, A little touch of olive oil.
56," As it starts to smoke, bread in."
57, But look at the pasta now.
58, It's been stained by that amazing sauce to serve.
59," And I spoon of my mushrooms, leeks and cream."
60," Then I take my pasta, just twist it and let it sit on top."
61, That tarragon has just lifted everything.
62, Bread on.
63, And that's the beauty about something so simple.
64, You're done in 20 minutes with everyday ingredients.
65, A stunning pasta dish.
66, Adding easy and versatile dishes like this to your repertoire is what cooking at home is all about.
67, So you can always make great tasting food at the drop of a hat.
68," A fry off the chillis, the ginger, the garlic first."
69, Sesame seed oil.
70," Teaspoon, only in."
71, Fry corn on the cob in olive oil.
72, You want a really wonderfully charred flavor.
